2026-09-17T19:21:28Z INFO Logging to /tmp/logs/update_2026-09-17T19-21-28Z.log.
2026-09-17T19:21:28Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-17T19:21:28Z INFO Processing 371 items (48415 already recorded).
2026-09-17T19:24:32Z INFO [42/371] 0332cbac-390d-42b3-ad6d-ac42d1bf1092: 30 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:24:33Z INFO [43/371] 03332538-34cc-44c5-b960-273bdfbdcd73: 22 groups; 1.0 s; peak memory 288 MiB.
2026-09-17T19:24:34Z INFO [44/371] 03338fd2-c2b9-45ea-89d0-1854e6729102: 199 groups; 1.2 s; peak memory 288 MiB.
2026-09-17T19:24:35Z INFO [45/371] 0333f1fc-6191-4b7e-9c50-6bffc8e226bf: 33 groups; 1.2 s; peak memory 288 MiB.
2026-09-17T19:24:36Z INFO [46/371] 03343aa5-19af-40a3-908a-199aa7ac621b: 22 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:24:38Z INFO [47/371] 033462b2-6abb-46df-a2fe-85fc771a18f7: 48 groups; 1.9 s; peak memory 288 MiB.
2026-09-17T19:24:39Z INFO [48/371] 03357166-3956-4de7-8501-4d5e8d69c6ce: 32 groups; 1.3 s; peak memory 288 MiB.
2026-09-17T19:24:42Z INFO [49/371] 0335edb5-00c2-4b57-87a4-9ff9afb2aaec: 50 groups; 2.2 s; peak memory 288 MiB.
2026-09-17T19:24:43Z INFO [50/371] 03376a6e-24e2-4dae-a823-c32b693ad95e: 33 groups; 1.1 s; peak memory 288 MiB.
2026-09-17T19:24:43Z INFO [50/371] 03376a6e-24e2-4dae-a823-c32b693ad95e: checkpointed 48465 records.
2026-09-17T19:24:44Z INFO [51/371] 0337823f-ffab-4e5b-9816-b6efdcceade3: 22 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:24:45Z INFO [52/371] 0338279c-e3fa-4d30-9bec-8342785951fa: 35 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:24:45Z INFO [53/371] 03383de2-51cc-467a-9b50-99e5190964c0: 33 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:24:46Z INFO [54/371] 0338f7d1-7504-4746-ae6d-dc45564297b3: 32 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:24:47Z INFO [55/371] 033999bf-6d3d-4747-a29b-c298723ab87d: 22 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:25:05Z INFO [56/371] 0339f9c8-7306-44a4-8ded-a74556b40692: 310 groups; 17.9 s; peak memory 288 MiB.
2026-09-17T19:25:06Z INFO [57/371] 033a1f6a-80d2-4a49-b9a8-9e6d5ced0d93: 26 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:25:07Z INFO [58/371] 033afa80-ba97-4b5a-acb9-bbd1c098de14: 22 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:25:08Z INFO [59/371] 033b5034-77c7-4a7c-8b99-61355fc77c85: 22 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:25:10Z INFO [60/371] 033b80a3-9b9b-4727-888d-e0ab54a1d97f: 48 groups; 2.0 s; peak memory 288 MiB.
2026-09-17T19:25:11Z INFO [61/371] 033d382a-2c62-4ffe-bb74-96206a90494f: 32 groups; 1.1 s; peak memory 288 MiB.
2026-09-17T19:25:12Z INFO [62/371] 033d8d0b-cea4-46cc-bfb3-e61d0c0752fb: 48 groups; 1.6 s; peak memory 288 MiB.
2026-09-17T19:25:13Z INFO [63/371] 033d9c38-e089-4acd-98d1-f9ddea1d2f1f: 32 groups; 1.0 s; peak memory 288 MiB.
2026-09-17T19:25:14Z INFO [64/371] 033e4d1b-3d5a-47f9-9bd9-84f13d5b61b0: 22 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:26:46Z INFO [65/371] 033e5861-9814-4ea9-954f-274d18eb7bee: 68 groups; 92.3 s; peak memory 288 MiB.
2026-09-17T19:26:47Z INFO [66/371] 033ec5e9-54cd-42e6-89dc-8c322e840af7: 32 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:26:52Z INFO [67/371] 033ec793-815e-45de-8b0a-5a757a24088e: 78 groups; 4.5 s; peak memory 288 MiB.
2026-09-17T19:26:53Z INFO [68/371] 033ecaf2-4476-4e89-b35f-62e574b72276: 22 groups; 0.9 s; peak memory 288 MiB.
2026-09-17T19:26:59Z INFO [69/371] 033f1196-2003-4a85-9a8d-74c8be3f959c: 17 groups; 5.7 s; peak memory 288 MiB.
2026-09-17T19:27:04Z INFO [70/371] 033f30d2-fded-43cc-92bf-5072c7f2ea79: 17 groups; 5.3 s; peak memory 288 MiB.
2026-09-17T19:27:05Z INFO [71/371] 033ff4cc-fbf8-417e-ba0a-e80109ef5570: 52 groups; 1.2 s; peak memory 288 MiB.
2026-09-17T19:27:06Z INFO [72/371] 0340759f-74fc-41fc-9fc9-605074496141: 16 groups; 0.6 s; peak memory 288 MiB.
2026-09-17T19:27:07Z INFO [73/371] 0340dde7-e96d-4987-a010-3b1df685f62d: 72 groups; 1.2 s; peak memory 288 MiB.
2026-09-17T19:27:08Z INFO [74/371] 0341d644-1a05-46c4-8ca1-0a92757b37e9: 22 groups; 0.8 s; peak memory 288 MiB.
2026-09-17T19:27:09Z INFO [75/371] 03420196-33e6-459e-92e4-90fc641aa13b: 35 groups; 1.3 s; peak memory 288 MiB.
2026-09-17T19:27:21Z INFO [76/371] 0342434a-7129-40e7-9047-553015a90051: 259 groups; 12.0 s; peak memory 288 MiB.
